min,f,v
0-5,0,0
0-10,0,0
0-15,3,2
0-20,3,3
0-25,6,6
0-30,7,11
0-35,8,22
0-40,11,32
0-45,18,45
0-50,20,53
0-55,23,63
1-0,23,70
1-5,25,76
1-10,27,87
1-15,29,91
1-20,31,101
1-25,33,107
1-30,34,114
1-35,36,123
1-40,39,134
1-45,41,141
1-50,43,145
1-55,46,151
2-0,47,159
2-5,48,162
2-10,51,173
2-15,52,181
2-20,52,188
2-25,53,193
2-30,55,201
2-35,55,207
2-40,58,219
2-45,62,234
2-50,64,241
2-55,65,253
3-0,66,262
3-5,66,272
3-10,68,278
3-15,70,288
3-20,75,298
3-25,76,304
3-30,77,310
3-35,77,317
3-40,78,324
3-45,78,334
3-50,82,342
3-55,84,349
4-0,86,360
4-5,89,367
4-10,91,378
4-15,93,383
4-20,96,396
4-25,98,398
4-30,99,408
4-35,102,416
4-40,102,422
4-45,102,428
4-50,102,434
4-55,105,444
5-0,105,451
5-5,109,455
5-10,110,467
5-15,110,481
5-20,112,495
5-25,117,503
5-30,121,514
5-35,121,519
5-40,124,528
5-45,124,532
5-50,127,542
5-55,132,550
6-0,137,557
6-5,139,565
6-10,142,569
6-15,143,579
6-20,147,591
6-25,148,600
6-30,149,609
6-35,154,621
6-40,157,629
6-45,157,635
6-50,158,643
6-55,160,652
7-0,163,661
7-5,164,667
7-10,167,674
7-15,167,680
7-20,169,686
7-25,171,693
7-30,171,705
7-35,174,711
7-40,174,725
7-45,177,735
7-50,180,747
7-55,182,756
8-0,184,764
8-5,186,771
8-10,189,778
8-15,193,784
8-20,195,792
8-25,196,797
8-30,198,805
8-35,199,812
8-40,199,819
8-45,201,827
8-50,202,838
8-55,204,849
9-0,204,862
9-5,205,874
9-10,207,886
9-15,209,893
9-20,209,903
9-25,209,906
9-30,212,911
9-35,212,923
9-40,213,933
9-45,214,941
9-50,214,950
9-55,217,960
10-0,217,966
10-5,218,974
10-10,220,989
10-15,225,997
10-20,226,1010
10-25,227,1016
10-30,233,1026
10-35,235,1029
10-40,237,1034
10-45,238,1045
10-50,238,1051
10-55,239,1058
11-0,244,1064
11-5,245,1072
11-10,247,1081
11-15,248,1087
11-20,250,1099
11-25,251,1117
11-30,252,1126
11-35,255,1136
11-40,258,1142
11-45,259,1152
11-50,260,1157
11-55,263,1163
12-0,263,1172
12-5,265,1182
12-10,265,1189
12-15,265,1193
12-20,269,1200
12-25,269,1208
12-30,271,1215
12-35,275,1224
12-40,275,1233
12-45,276,1243
12-50,278,1254
12-55,279,1262
13-0,282,1273
13-5,284,1279
13-10,287,1292
13-15,287,1296
13-20,291,1305
13-25,292,1311
13-30,294,1320
13-35,297,1323
13-40,300,1331
13-45,302,1339
13-50,304,1353
13-55,306,1364
14-0,309,1373
14-5,310,1383
14-10,311,1389
14-15,316,1395
14-20,318,1403
14-25,319,1413
14-30,320,1421
14-35,322,1426
14-40,325,1435
14-45,325,1440
14-50,327,1449
14-55,329,1456
15-0,331,1469
15-5,331,1478
15-10,332,1490
15-15,333,1502
15-20,334,1514
15-25,337,1524
15-30,337,1533
15-35,338,1541
15-40,338,1546
15-45,339,1556
15-50,340,1560
15-55,345,1570
16-0,346,1577
16-5,347,1583
16-10,351,1593
16-15,355,1600
16-20,355,1608
16-25,356,1619
16-30,360,1628
16-35,364,1639
16-40,367,1648
16-45,370,1653
16-50,372,1665
16-55,373,1673
17-0,374,1680
17-5,375,1691
17-10,378,1699
17-15,379,1708
17-20,382,1711
17-25,383,1721
17-30,383,1728
17-35,383,1738
17-40,387,1749
17-45,389,1764
17-50,390,1774
17-55,391,1783
18-0,393,1788
18-5,396,1793
18-10,398,1801
18-15,403,1808
18-20,405,1814
18-25,407,1821
18-30,409,1828
18-35,409,1836
18-40,413,1845
18-45,416,1858
18-50,418,1870
18-55,423,1881
19-0,428,1883
19-5,432,1895
19-10,434,1903
19-15,435,1913
19-20,436,1918
19-25,440,1929
19-30,441,1936
19-35,441,1943
19-40,442,1953
19-45,442,1962
19-50,444,1972
19-55,445,1981
20-0,448,1989
20-5,449,1998
20-10,449,2011
20-15,452,2019
20-20,453,2029
20-25,454,2040
20-30,456,2043
20-35,459,2052
20-40,460,2057
20-45,460,2066
20-50,461,2071
20-55,461,2085
21-0,464,2091
21-5,467,2101
21-10,470,2110
21-15,472,2118
21-20,472,2125
21-25,475,2139
21-30,475,2148
21-35,476,2154
21-40,478,2162
21-45,479,2169
21-50,485,2177
21-55,487,2180
22-0,489,2191
22-5,491,2196
22-10,494,2206
22-15,495,2214
22-20,497,2220
22-25,500,2230
22-30,500,2241
22-35,501,2251
22-40,502,2264
22-45,505,2272
22-50,510,2279
22-55,511,2284
23-0,514,2293
23-5,517,2302
23-10,517,2313
23-15,518,2316
23-20,521,2327
23-25,522,2332
23-30,525,2343
23-35,527,2351
23-40,529,2362
23-45,529,2372
23-50,529,2381
23-55,531,2394
24-0,534,2405